实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_pthread_optimized,10000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,10000,100000000000000000,1,0.083021,0.000263,0.082654,0.083253,PASS
ntt_crt_arbitrary_pthread,10000,100000000000000000,1,0.064972,0.000199,0.064746,0.065231,PASS
ntt_crt_arbitrary_pthread,10000,100000000000000000,2,0.062345,0.000329,0.062066,0.062806,PASS
ntt_crt_arbitrary_pthread,10000,100000000000000000,4,0.062034,0.000679,0.061312,0.062944,PASS
ntt_crt_arbitrary_pthread,10000,100000000000000000,8,0.061656,0.000486,0.061070,0.062261,PASS
ntt_crt_arbitrary_openmp,10000,100000000000000000,1,0.084237,0.000378,0.083732,0.084642,PASS
ntt_crt_arbitrary_openmp,10000,100000000000000000,2,0.064781,0.000301,0.064397,0.065132,PASS
ntt_crt_arbitrary_openmp,10000,100000000000000000,4,0.062713,0.000524,0.062085,0.063368,PASS
ntt_crt_arbitrary_openmp,10000,100000000000000000,8,0.063252,0.000550,0.062717,0.064009,PASS
ntt_serial,10000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,10000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,10000,1000000000000000000,1,0.083095,0.000153,0.082971,0.083311,PASS
ntt_crt_arbitrary_pthread,10000,1000000000000000000,1,0.065394,0.000386,0.064906,0.065850,PASS
ntt_crt_arbitrary_pthread,10000,1000000000000000000,2,0.062857,0.000105,0.062729,0.062987,PASS
ntt_crt_arbitrary_pthread,10000,1000000000000000000,4,0.061216,0.000650,0.060337,0.061888,PASS
ntt_crt_arbitrary_pthread,10000,1000000000000000000,8,0.061860,0.000710,0.061049,0.062778,PASS
